[00:00:00.000 --> 00:00:05.500]  Think about all of the thousands of businesses that exist, that say they want to do something.
[00:10:27.200 --> 00:10:35.200]  Maybe I'm wrong I could be wrong. I'm a little cautious about whether brands would adopt it because I'm not sure if brands would be like yes consumers care about this.
[00:10:35.200 --> 00:10:40.200]  Yeah and then I also think the other worry would be that where does Nick Sharma app donate money to right now.
[00:10:40.200 --> 00:10:41.200]  Yeah.
[00:10:41.200 --> 00:10:46.200]  Like if it's only charity water great but if I have the right to choose between yeah I think you should be able to choose.
[00:10:46.200 --> 00:10:55.200]  Yeah but okay so right now there could be people who are like I think this charity is supporting that like you know well I don't know if that like you know you're probably right you could probably say salvation army
[00:10:55.200 --> 00:11:01.200]  like a bunch of safe charities where you're like I'm not worried about people being like you're supporting people that I don't like.
[00:11:01.200 --> 00:11:08.200]  Yeah I think on the charity side you would have to make sure that it's it's properly independently vetted and all of that stuff.
[00:11:08.200 --> 00:11:09.200]  Yeah.
[00:11:09.200 --> 00:11:20.200]  On the brand side there's got to be some sort of an advantage of hey you've got to figure out how to write off you know $5 million will help you do that by offsetting some of the purchases or yeah.
[00:11:20.200 --> 00:11:29.200]  You know we can go from 10 cents to you know a dollar so every time you spend 80 customer spends 80 bucks will take a dollar from that and deduct that for you.
[00:11:29.200 --> 00:11:33.200]  Yeah and the other interesting thing is you could all of a sudden run sales in this way too.
[00:11:33.200 --> 00:11:34.200]  Yeah.
[00:11:34.200 --> 00:11:38.200]  You could be like hey this weekend if you purchase we're going to donate 5% instead of just 1%.
[00:11:38.200 --> 00:11:45.200]  Okay those sales do really well like if you've ever run a sale using like a shopping gives or a gives which is like a shopper.
[00:11:46.200 --> 00:11:58.200]  But you can say like instead of running 20% off this weekend we're going to donate a 5 bucks or we're going to donate a meal for every everything you buy or we're going to donate X for every time you buy something.
[00:11:58.200 --> 00:12:03.200]  And those sales do I would say almost just as well as if a customer is getting a discount.
[00:12:03.200 --> 00:12:06.200]  That's interesting let me ask you one weird question.
[00:12:06.200 --> 00:12:09.200]  If you're like box top you mentioned that like nobody wants to scan the receipt.
[00:12:09.200 --> 00:12:10.200]  Yeah.
[00:12:10.200 --> 00:12:19.200]  Even though it's a lot easier scanning a receipt than it is to clip out this thing and have your 8 year old son go take this to his teacher and remember to do that not lose it across along the way.
[00:12:19.200 --> 00:12:27.200]  Is it like this is you know a little gross but is it better for Kellogg to be like okay great redemptions are followed by 90%.
[00:12:27.200 --> 00:12:32.200]  You know what we're not going to do is we just save a lot of money and we still get the credit for doing box tops.
[00:12:32.200 --> 00:12:42.200]  I think the motive also on the Kellogg's and the General Mill side is oh we can actually see what are people buying or what is moving or what is driving so you have in the stores.
[00:12:42.200 --> 00:12:53.200]  Yeah that we are sitting next to or maybe even like you know if you're selling cereal General Mill says well who are we losing to in the nutrition bar category they can see sure sure sure.
[00:12:54.200 --> 00:12:59.200]  Yeah I do like the idea and I do think that like it has network effects which I love.
[00:12:59.200 --> 00:13:10.200]  It's good salt because you know usually I think that almost all of these software written for Shopify apps I think that some guy in India should be cloning and charging 10% the price and killing the market.
[00:13:10.200 --> 00:13:15.200]  Like Clavio I think Clavio says they have you know 20,000 customers that are over $15,000 a year.
[00:13:15.200 --> 00:13:23.200]  I know Jimmy is doing this or maybe Clavio is not a good example but there's a duplicate this order app that costs you certain amount.
[00:13:23.200 --> 00:13:27.200]  Why isn't some guy in India copying this app and charging $10 a month for it.
[00:13:27.200 --> 00:13:32.200]  All the review apps copy all offer reviews $10 a month.
[00:13:32.200 --> 00:13:37.200]  Every single new shop of high business is going to use you instead of Yap Power or a Kendo or anybody.
[00:13:37.200 --> 00:13:47.200]  And so I think that like all of like their very few network effects when it comes to software in the e-commerce space and so I think every some guy in India should own all the apps.
[00:13:47.200 --> 00:13:54.200]  This is one that has genuine network effects where you got to go out to brands and say hey we're going to do a good job you're going to get more sales from us.
[00:13:54.200 --> 00:14:00.200]  You can put a little badge at the bottom almost like that cruelty free bunny right everyone recognize it as this is legitimate.
[00:14:00.200 --> 00:14:11.200]  That's exactly the thought I had to was like in that business of the labels that we've talked about before like the kosher label it's all before the gluten free label that's paid for.
[00:14:11.200 --> 00:14:19.200]  This is another label you can put on you know it's like having at your 7-11 stores as clean air inside you know.
[00:14:19.200 --> 00:14:21.200]  Sure.
[00:14:21.200 --> 00:14:32.200]  I like the business. I think you're right that are I think that it does take a little bit of like time to get those businesses on board yeah I do like the idea of like okay now bought this guy I can go over here and spend my money for the shop app.
[00:14:32.200 --> 00:14:42.200]  Like you know whenever I buy they say you're about to get 1% back where does that money go I never see it's in the app for something balance yeah and you plant trees which I feel like you could I wish you could change that you
[00:14:42.200 --> 00:14:48.200]  know I'd rather put water I'd rather contribute to building a well in Africa then plant another tree.
[00:14:48.200 --> 00:15:00.200]  Wait the when it says you get 1% cash when it says 1% back at do I get the cash or does it goes towards water or something no no you get the cash and then but you know I think they're making 2.9 or whatever their split with
[00:15:00.200 --> 00:15:05.200]  the type is so some percentage of that goes toward it's probably one tree.
[00:15:05.200 --> 00:15:13.200]  That's where there is a Shopify app that's like we plant trees somewhere like you know you can use it for every dollar in sales or I don't know every order you get they plant a tree and
[00:15:13.200 --> 00:15:24.200]  so they're like you know we planted millions of trees but again like the thing is some guy in India could do the same thing for you know 10 cents totally and that's why I like this app because there's network effects yeah agreed.
[00:15:24.200 --> 00:15:34.200]  Okay what's the next thing on your next one is showfields have you seen the showfield store in noho yeah it's right next to like the lot that like next
[00:15:34.200 --> 00:15:43.200]  that equinox on bond right yeah yeah okay so show fields for the longest time has had that retail spot I think maybe since I moved to New
[00:15:43.200 --> 00:15:55.200]  York like four years ago they were there I always thought it was a strange business like it's like you walk in and it's all these brands have basically like 6 by 8
[00:15:55.200 --> 00:16:05.200]  or 4 by 5 rooms 4 4 by 5 foot rooms where they just sort of like spend a bunch of money and kind of deck it out for that little custom space.
[00:16:05.200 --> 00:16:21.200]  And you know back when I had a friend working at swell she said that they paid something like 30 thousand dollars a month to be in there are they crazy yeah and this was when everybody was paying that rate and so there was I mean like 8 sleep was
[00:16:21.200 --> 00:16:31.200]  there but they use it for the purpose that they were raising money and investors could come and touch the bed 30 thousand dollars a month yeah farmers dog was this is why so many
[00:16:31.200 --> 00:16:39.200]  business is going out business I think crazy yeah how about some financial responsibility but okay tell me what you're going to say I think everybody had different rates though because
[00:16:39.200 --> 00:16:49.200]  everybody asked had different rates this article I read this morning said that they got they paid 20 K for 6 months but it was always this weird concept of instead
[00:16:49.200 --> 00:17:01.200]  of you paying for a pop up shop we will take on everything that needs to be and you just come in for you know 3 months at a time 4 months at a time yeah you can host an event on the roof which like kind
[00:17:01.200 --> 00:17:03.200]  of a weird idea but anyways.
[00:17:03.200 --> 00:17:15.200]  And one of the other things they said at show wheels was don't think that the sales from this store are like you know it's a branding thing you know don't yes you know they weren't like yes okay this store costs you
[00:17:15.200 --> 00:17:23.200]  thousand dollars a month you should expect ten thousand dollars in revenue and five thousand dollars in profits it will be break even like you know 5 thousand the cause use sold 10
[00:17:23.200 --> 00:17:31.200]  thousand dollars with a sleep mattresses you made 5000 are rents 5000 you're good they're like don't think of it that way think of it in the way of like this is good for your
[00:17:31.200 --> 00:17:39.200]  break like whatever marketing talk I don't even know the language the words that they use I've never I like you have it if someone says that to me I'm like I don't
[00:17:39.200 --> 00:17:46.200]  know what's this language I'm illiterate in the language you're speaking in fact whatever they say those things my blood boils because I'm like you're
[00:17:46.200 --> 00:17:53.200]  going to take my money put it in your pocket and you're going to pretend like this is marketing this is why we should go to war yeah it's like
[00:17:53.200 --> 00:18:03.200]  there's a call NYPD out here this guy's robbing me they're they're speaking some random village dialect and yeah yeah and they say it with a smile yes they're like you
[00:18:03.200 --> 00:18:14.200]  know hey holding their hand out saying give me I don't what what do they say Joe basically the founder says that show fields is the intersection of retail media and performance based retail and the way that
[00:18:14.200 --> 00:18:23.200]  they justify that is they say you pay us for a spot we have all these cameras up above with all these trackers will give you all the analytics of who's
[00:18:23.200 --> 00:18:32.200]  coming in how much time is being spent in your little you know four five foot area that was basically the sale it's like it's a brand marketing play
[00:18:32.200 --> 00:18:43.200]  well I would say look you know if I were a brand this is how I think about it one I look you know I can't afford this because it's not financially responsible actually that's what I'd say I'd say this isn't
[00:18:43.200 --> 00:18:50.200]  financially responsible you know what Facebook says they say you give us a dollar will give you two this guy saying hey you give us a dollar will
[00:18:50.200 --> 00:18:57.200]  give you 50 cents so you know one of them is I like one of them I don't like yeah the other thing I'd say is they don't have a big enough
[00:18:57.200 --> 00:19:05.200]  number of people walking into that store for me to give us about the number of people were coming to look at like you know five four five what do they have
[00:19:05.200 --> 00:19:13.200]  25,000 people coming in a day or do they have a hundred people and doesn't matter all 32 people yeah yeah that's right yes yeah yeah and three of them came
[00:19:13.200 --> 00:19:22.200]  into use the bathroom three of them were came into like steel stuff yeah you know like your analytics are useless 100% agree yeah so I put together you know
[00:19:22.200 --> 00:19:32.200]  because I I've had a lot of people who've asked me if show fields if they should be in show fields they also then during the pandemic started doing this like live shopping
[00:19:32.200 --> 00:19:43.200]  thing and they used portfolio company of mine as an example of a brand that was killing it and when I asked the founder he was like we don't even work with them yeah so
[00:19:43.200 --> 00:19:51.200]  anyway so I put together a quick checklist when it comes to opportunities like this that I think founder should go through because this is what goes through my head so the first one is
[00:19:51.200 --> 00:20:00.200]  is this cheaper than if I were to do this myself so if I were to rent a space in the West Village which costs maybe like 15 20 K yeah and hire a small staff
[00:20:00.200 --> 00:20:08.200]  is this cheaper than that which in this case maybe break even or maybe equal but I think the West Village might still be cheaper because you own all
[00:20:08.200 --> 00:20:15.200]  of the space versus you know five feet by five feet I think that okay yeah got one of the other questions the second one is what is my estimated cost of
[00:20:15.200 --> 00:20:23.200]  customer acquisition cost of customer yeah so how much for all the people that are going to come through the total number that I spend divided
[00:20:23.200 --> 00:20:28.200]  by how many new customers am I going to get out here or even just orders in general yeah what is that number estimated to be
[00:20:28.200 --> 00:20:34.700]  infinite because it's not a number it's a zero you get zero people at the bottom whatever if it's one divided by zero that's not a
[00:20:34.700 --> 00:20:42.700]  number yeah and so so if you can't if they can't give you an estimate it's a red flag yes the next one is you know are people
[00:20:42.700 --> 00:20:49.200]  that are coming into this space actually here to see my product or they hear for something else but I'm still paying
[00:20:49.200 --> 00:20:56.200]  for their eyeballs to walk in good question the next one after that is if this is a shared pop up which it
[00:20:56.200 --> 00:21:03.700]  is what is the reason that people are coming are they coming because there's one brand they want to see in which case they have no interest
[00:21:03.700 --> 00:21:10.200]  in seeing what I have are they coming because there's an event there that aligns with the audience or going after in which
[00:21:10.200 --> 00:21:16.700]  case maybe there's something there but there's this thing there's a retail strategy called destination synergy which is like you know when you see
[00:21:16.700 --> 00:21:25.200]  soul cycle pop up you see sprouts pop up you see sweet green pop up that's what destination synergy is these guys had almost none of
[00:21:25.200 --> 00:21:33.200]  that they had a tattoo company next to a dog food company next to a water bottle company sort of all over the place I thought the only people walking
[00:21:33.200 --> 00:21:41.200]  in there were like D to see people already what's going on or like what's wasting money over you next one I have is you know what do I get from
[00:21:41.200 --> 00:21:47.200]  this from a content standpoint so if I'm not getting any question yeah is there anything I can do content wise or with the
[00:21:47.200 --> 00:21:52.800]  physical area like great question eight sleep for example they raised money because they had investors come feel the bed lie on it
[00:21:52.800 --> 00:22:00.800]  etc. And then the last thing is this going to drive any revenue and if so then what is the evidence that supports that if there's no evidence
[00:22:00.800 --> 00:22:08.800]  to support that upon signing then there's no reason to go ahead and move forward with the deal yeah let me say two things about this one
[00:22:08.800 --> 00:22:14.800]  is I think one of the question like you know I know your first question isn't dispositive but what I would say is there's some element
[00:22:14.800 --> 00:22:21.800]  to you know can I do this cheaper myself and also is it like worth doing it myself for sure so for instance like yes I'm going to pay a little
[00:22:21.800 --> 00:22:28.800]  bit more for a three PL because I don't want to manage did 30 people show up to pack packages this morning like that I'm in a different
[00:22:28.800 --> 00:22:34.800]  business than I am right now for sure the other thing I'd say is does this mean neighborhood goods is going to go out of
[00:22:34.800 --> 00:22:40.800]  like what do you think about neighborhood that's another one I mean I love the store yeah every time I go to Austin I love going
[00:22:40.800 --> 00:22:48.800]  where is it it's right next to the equinox in the South Con like so out area but that's another one where everybody I've known who's
[00:22:48.800 --> 00:22:56.800]  gotten into neighborhood goods it's average or below average in terms of sell through it just exists there and it's like it's like what we
[00:22:56.800 --> 00:23:02.800]  were talking about the last episode if you see the name you might remember it or might make you want to buy that body wash or that
[00:23:02.800 --> 00:23:09.800]  dollar t-shirt yeah I don't I've never seen anybody go in there and by product and walk out usually people go in there they tour around
[00:23:09.800 --> 00:23:14.800]  they started they built out a full cafe in the Austin one because I think and the New York one here in Chelsea market because I
[00:23:14.800 --> 00:23:19.800]  think they realize that's where they're going to make their money but I think they probably also go out of
[00:23:19.800 --> 00:23:25.800]  business they rate they both raise a ton of money. I really haven't you have any idea how much they raise well I know
[00:23:25.800 --> 00:23:32.800]  that the showfields owes about ten million dollars a file for bankruptcy. The interesting piece was like
[00:23:32.800 --> 00:23:41.800]  I looked into who do they owe money to you have the obvious ones like MX or you know the property manager yeah
[00:23:41.800 --> 00:23:46.800]  but the other interesting ones was like a huge one was talent recruitment probably for all the part time workers
[00:23:46.800 --> 00:23:53.800]  so they were probably paying them like a PEO and the other interesting one was BFA which is like you know all those
[00:23:53.800 --> 00:24:00.800]  event photographers at the bottom right either says like getty or FFA is those guys so they were throw events
[00:24:00.800 --> 00:24:06.800]  and have these photographers come try to make the place look cool yeah I remember when I tried to like neighborhood goods was
[00:24:06.800 --> 00:24:11.800]  trying to work with native and they reached out to me and they said the contract it was so onerous and I was like this provision
[00:24:11.800 --> 00:24:16.800]  I hate you guys for offering this provision I'll only do it but you have I forgot what the provision was if someone sends me
[00:24:16.800 --> 00:24:21.800]  to contract you DM your contract I'll remember what I'll look through and see what it was and I was like I want to
[00:24:21.800 --> 00:24:26.800]  I want you to agree that you're going to have to do it instead of me and they're like how about we take it out I was like no
[00:24:26.800 --> 00:24:30.800]  for spite you have to agree to do it now and they're like we can't agree to that I was like I know because
[00:24:30.800 --> 00:24:36.800]  fucking outrageous that you asked me to agree to it yeah fuck yourself yeah the reality is I think all those businesses were actually
[00:24:36.800 --> 00:24:44.800]  good ideas in 2019 or 2018 or 2017 because we didn't know what direction e-commerce was going and new brands were going
[00:24:44.800 --> 00:24:49.800]  were they going into regular brick and mortar stores were they going into like the targets of the world
[00:24:49.800 --> 00:24:53.800]  were they going to create their own pop ups like the war be parkers and all birds of the
[00:24:53.800 --> 00:24:58.800]  store of the world or did they need a mix of those two where they're like we are not responsible for this
[00:24:58.800 --> 00:25:04.800]  but we get a brand presence maybe there'll be some sell through this will grow our brand and we're going to take this
[00:25:04.800 --> 00:25:08.800]  will help us get the business to the next level the reality is I think that those like the neighborhood goods
[00:25:08.800 --> 00:25:14.800]  and show field stores never had the traction to be able to take your brand anywhere and they failed in and of
[00:25:14.800 --> 00:25:19.800]  themselves and I think they were bad businesses as a result of that but I also think that like you know
[00:25:19.800 --> 00:25:24.800]  businesses generally real like that the consumer businesses themselves realized if we're going to go into
[00:25:24.800 --> 00:25:29.800]  stores we either need to focus on it like all birds does and war be parker does or we need to let
[00:25:29.800 --> 00:25:34.800]  somebody else focus on it like native does and Harry's does and say we're going to go into a big box
[00:25:34.800 --> 00:25:39.800]  retailer the hybrid of those two which is like the show feels or neighborhood goods never got
[00:25:39.800 --> 00:25:43.800]  anything and I think in part that's because the consumer brands didn't ever focus on it on it and I think
[00:25:43.800 --> 00:25:48.800]  that's in part because neighborhood goods wasn't like we're going to build out 75 of these we're going to drive a
[00:25:48.800 --> 00:25:52.800]  ton of traffic in them somewhere another they were just sort of like here's the store hopefully we can charge
[00:25:52.800 --> 00:25:56.800]  you a lot maybe that's a good business model and that look like in 2017 we didn't know if that was
[00:25:56.800 --> 00:26:01.800]  a good business model I think in 2023 we know that's not a good business model yeah I feel like
[00:26:01.800 --> 00:26:07.800]  you know the other thing they did was like I'm never happy for somebody's business to shut down
